file,filename,num_tracks,total_notes,programs,tempos,time_signatures,key_signatures,duration_secs
..\..\data\acsrnade.mid,acsrnade.mid,2,1652,{0},150.0,4/4,C,406.0083333333333
..\..\data\adingysd.mid,adingysd.mid,2,2353,{0},80.0,2/4,Bb,308.0083333333333
..\..\data\adlyn.mid,adlyn.mid,2,4650,{0},89.72002865059582,2/4,D,2678.008333333333
..\..\data\afrcnpas.mid,afrcnpas.mid,2,2041,{0},83.99996640001343,2/4,G,235.00833333333333
..\..\data\agitaton.mid,agitaton.mid,2,2971,{0},91.91993161157087,2/4,Bb,307.94166666666666
..\..\data\ailucky.mid,ailucky.mid,2,1878,{0},97.9999836666694,2/4,G,199.34166666666667
..\..\data\aladream.mid,aladream.mid,2,2282,{0},104.99992125005906,2/4,F,335.525
..\..\data\alagazam.mid,alagazam.mid,2,2531,{0},107.10995908399563,2/4,C,310.35
..\..\data\alexrsrb.mid,alexrsrb.mid,2,1351,{0},180.00018000018,4/4,F,439.0083333333333
..\..\data\amazon.mid,amazon.mid,2,1674,{0},95.8899949977386,2/4,Bb,246.13333333333333
..\..\data\amrcnbty.mid,amrcnbty.mid,2,2550,{0},88.00002346667293,2/4,Eb,302.0083333333333
..\..\data\amweddng.mid,amweddng.mid,2,1419,{0},210.00021000021,4/4,Bb,378.0083333333333
..\..\data\anoma.mid,anoma.mid,2,2738,{0},95.93997994854419,2/4,C,358.01666666666665
..\..\data\antointe.mid,antointe.mid,2,2355,{0},175.05981210246836,6/8,G,475.84166666666664
..\..\data\applejck.mid,applejck.mid,2,2046,{0},83.99996640001343,2/4,C,299.0083333333333
..\..\data\applsass.mid,applsass.mid,2,2501,{0},80.0,1/4,G,276.0083333333333
..\..\data\armadill.mid,armadill.mid,2,3112,{0},82.99995020002989,2/4,F,314.21666666666664
..\..\data\ashyafrc.mid,ashyafrc.mid,2,2252,{0},97.9999836666694,2/4,C,310.0083333333333
..\..\data\atgrapes.mid,atgrapes.mid,2,2100,{0},104.86998743307984,2/4,Bb,368.0083333333333
..\..\data\atlanta.mid,atlanta.mid,2,3580,{0},115.20007372804719,2/4,Db,452.0083333333333
..\..\data\augustan.mid,augustan.mid,2,2800,{0},198.46979785851087,3/4,Bb,811.4916666666667
..\..\data\bachelrb.mid,bachelrb.mid,2,3041,{0},96.0,2/4,C,400.51666666666665
..\..\data\bantam.mid,bantam.mid,2,1802,{0},190.0002850004275,4/4,C,540.0083333333333
..\..\data\barbwire.mid,barbwire.mid,2,2304,{0},170.0000850000425,4/4,C,558.5916666666667
..\..\data\bck2life.mid,bck2life.mid,2,2121,{0},97.1699259079315,2/4,F,250.925
..\..\data\beeswax.mid,beeswax.mid,2,2012,{0},100.0,2/4,G,299.0083333333333
..\..\data\belleofc.mid,belleofc.mid,2,1986,{0},239.74970131183045,4/4,C,1024.0083333333334
..\..\data\benhur.mid,benhur.mid,2,3254,{0},120.0,2/4,Eb,448.01666666666665
..\..\data\bethena.mid,bethena.mid,2,2739,{0},124.01998375338214,3/4,G,810.0083333333333
..\..\data\bfootlou.mid,bfootlou.mid,2,1817,{0},86.00005160003096,2/4,C,235.00833333333333
..\..\data\billikin.mid,billikin.mid,2,1771,{0},91.99998773333498,2/4,F,268.0083333333333
..\..\data\binkswlz.mid,binkswlz.mid,2,2809,{0},147.71994268466224,3/4,Bb,627.0166666666667
..\..\data\blackand.mid,blackand.mid,2,1896,{0},100.49998743750157,2/4,G,265.425
..\..\data\blackcat.mid,blackcat.mid,2,2473,{0},180.00018000018,4/4,F,536.0083333333333
..\..\data\blacksmk.mid,blacksmk.mid,2,2285,{0},107.99991360006912,2/4,G,351.35
..\..\data\blazaway.mid,blazaway.mid,2,2624,{0},179.73973686102522,6/8,C,596.1583333333333
..\..\data\blckbawl.mid,blckbawl.mid,2,3021,{0},180.00018000018,4/4,C,692.0166666666667
..\..\data\blckblue.mid,blckblue.mid,2,1920,{0},87.85995123772706,2/4,F,267.9916666666667
..\..\data\blkdimnd.mid,blkdimnd.mid,2,1994,{0},75.0,2/4,G,285.0083333333333
..\..\data\blkwhtgb.mid,blkwhtgb.mid,2,1842,{0},201.0003115504829,4/4,G,530.7583333333333
..\..\data\blugoose.mid,blugoose.mid,2,2959,{0},187.99996240000752,4/4,C,732.0083333333333
..\..\data\bnchblkb.mid,bnchblkb.mid,2,1846,{0},86.00005160003096,2/4,C,309.0083333333333
..\..\data\bohemia.mid,bohemia.mid,2,2651,{0},95.82001169004143,2/4,G,460.0083333333333
..\..\data\bolorag.mid,bolorag.mid,2,2801,{0},80.0,2/4,C,273.0083333333333
..\..\data\bowerybk.mid,bowerybk.mid,2,1251,{0},77.99997660000702,2/4,C,196.00833333333333
..\..\data\breezefa.mid,breezefa.mid,2,2944,{0},89.00004005001803,2/4,C,356.025
..\..\data\broadway.mid,broadway.mid,2,2724,{0},94.99999208333399,2/4,G,318.01666666666665
..\..\data\bronchob.mid,bronchob.mid,2,2750,{0},184.2497197868845,4/4,C,647.9833333333333
..\..\data\budrag.mid,budrag.mid,2,1672,{0},100.1599220088074,2/4,C,264.01666666666665
..\..\data\buffalo.mid,buffalo.mid,2,1599,{0},88.00002346667293,2/4,F,205.00833333333333
..\..\data\bugsrag.mid,bugsrag.mid,2,1746,{0},101.89006062458607,2/4,C,256.43333333333334
..\..\data\bumbleb.mid,bumbleb.mid,2,1383,{0},86.00005160003096,2/4,G,205.00833333333333
..\..\data\bunnyhug.mid,bunnyhug.mid,2,2084,{0},85.86995567679121,2/4,F,278.01666666666665
..\..\data\burnrome.mid,burnrome.mid,2,3896,{0},119.98992084664889,2/4,Eb,518.0166666666667
..\..\data\cabbgelf.mid,cabbgelf.mid,2,1850,{0},77.99997660000702,2/4,G,203.00833333333333
..\..\data\cactus.mid,cactus.mid,2,3278,{0},75.0,2/4,Eb,317.0083333333333
..\..\data\callally.mid,callally.mid,2,1416,{0},80.0,2/4,F,211.00833333333333
..\..\data\canadian.mid,canadian.mid,2,2678,{0},180.00018000018,4/4,C,771.0083333333333
..\..\data\canonbal.mid,canonbal.mid,2,2426,{0},96.0,2/4,C,229.00833333333333
..\..\data\carbarac.mid,carbarac.mid,2,2039,{0},109.99990833340972,2/4,Eb,272.0083333333333
..\..\data\carnival.mid,carnival.mid,2,1599,{0},96.0,2/4,C,309.01666666666665
..\..\data\carnking.mid,carnking.mid,2,3499,{0},119.95010075808463,2/4,Eb,488.51666666666665
..\..\data\cascades.mid,cascades.mid,2,2422,{0},88.00002346667293,2/4,C,276.2583333333333
